,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
270,2470942748,Carrera a la hora del almuerzo,2019-06-22T12:20:09Z,Run,1472.0,358,373,5.0,"[52.218386, 5.195797]",file.fit
271,2470197413,Carrera de tarde,2019-06-18T16:53:43Z,Run,10012.0,2473,2473,80.0,"[52.214591, 5.18927]",file.fit
272,2470198075,Ciclismo al anochecer,2019-06-16T18:28:28Z,Ride,27167.0,3022,3044,49.0,"[52.232294, 5.190982]",file.fit
273,2470198706,Ciclismo por la mañana,2019-06-16T10:53:06Z,Ride,48396.0,7007,7317,126.0,"[52.371966, 4.937099]",file.fit
274,2470198019,Ciclismo por la tarde,2019-06-15T16:51:13Z,Ride,28641.0,3582,3679,60.0,"[52.371644, 4.937205]",file.fit
275,2451871493,Carrera a la hora del almuerzo,2019-06-15T12:43:19Z,Run,10014.0,2642,2657,48.0,"[52.232071, 5.191015]",file.fit
276,2451871956,Ciclismo por la tarde,2019-06-14T17:12:45Z,Ride,53800.0,6259,6731,96.0,"[52.232402, 5.191026]",file.fit
277,2451871391,Carrera de tarde,2019-06-13T17:37:43Z,Run,10030.0,2525,2549,43.0,"[52.213192, 5.188961]",file.fit
278,2451869882,Carrera de noche,2019-06-11T18:11:36Z,Run,10012.0,2627,2633,62.0,"[52.212222, 5.189158]",file.fit
279,2451871339,Carrera de tarde,2019-06-10T13:17:12Z,Run,10023.0,2707,2776,55.0,"[52.232425, 5.1915]",file.fit
280,2437393054,Ciclismo por la tarde,2019-06-09T14:47:37Z,Ride,108756.0,13189,14814,226.0,"[52.23183, 5.191128]",file.fit
281,2435560371,Ciclismo por la tarde,2019-06-07T14:28:50Z,Ride,56436.0,6816,7948,120.6,"[52.232362, 5.191179]",file.fit
282,2435557514,Carrera de tarde,2019-06-06T16:49:29Z,Run,1323.0,332,337,8.0,"[52.211193, 5.18163]",file.fit
283,2435560228,Carrera de noche,2019-06-05T18:32:09Z,Run,10012.0,2469,2558,53.0,"[52.212152, 5.189106]",file.fit
284,2435560066,Carrera de noche,2019-06-04T20:20:18Z,Run,8206.0,2091,2130,16.0,"[52.232397, 5.191828]",file.fit
285,2435560645,Carrera de tarde,2019-06-03T17:12:37Z,Run,10012.0,2616,2668,68.0,"[52.213432, 5.189654]",file.fit
286,2435559897,Ciclismo por la mañana,2019-06-01T10:58:15Z,Ride,14543.0,3625,6560,52.0,"[52.232333, 5.191148]",file.fit
287,2435557801,Carrera de tarde,2019-05-30T15:59:13Z,Run,7638.5,2005,4572,83.0,"[52.226981, 5.189827]",file.fit
288,2435557856,Carrera de tarde,2019-05-30T15:40:50Z,Run,2379.0,581,805,19.0,"[52.213553, 5.189053]",file.fit
289,2435558964,Carrera de mañana,2019-05-29T09:04:22Z,Run,6237.0,2075,2231,61.0,"[52.213311, 5.189563]",file.fit
290,2435560573,Carrera de noche,2019-05-28T18:43:32Z,Run,10448.0,2858,3133,65.0,"[52.232853, 5.190435]",file.fit
291,2435560244,Carrera de noche,2019-05-27T20:37:08Z,Run,10021.0,2321,2321,0,,file.fit
292,2435563111,Ciclismo por la mañana,2019-05-26T07:57:25Z,Ride,94481.5,12148,17504,192.0,"[52.232496, 5.191875]",file.fit
293,2435561782,Carrera de tarde,2019-05-23T16:44:29Z,Run,8036.0,1790,2019,60.0,"[52.212694, 5.188582]",file.fit
294,2435562524,Ciclismo por la tarde,2019-05-22T16:18:21Z,Ride,10020.0,2458,2458,56.0,"[52.213806, 5.189184]",file.fit
295,2435562665,Carrera de tarde,2019-05-21T15:05:39Z,Run,9819.0,2401,2598,72.0,"[52.213153, 5.189516]",file.fit
296,2435563527,Carrera a la hora del almuerzo,2019-05-15T11:26:38Z,Run,11869.0,7110,11858,609.0,"[-33.635369, 150.284974]",file.fit
297,2368112670,Carrera de mañana,2019-05-09T07:34:28Z,Run,7008.0,2045,2051,17.0,"[52.231357, 5.191067]",file.fit
298,2368112756,Carrera de noche,2019-05-06T19:15:17Z,Run,15003.0,3690,3706,85.0,"[52.235547, 5.193447]",file.fit
299,2345824263,Carrera a la hora del almuerzo,2019-05-05T12:09:24Z,Run,15178.0,3937,7799,122.0,"[52.232225, 5.189202]",file.fit
300,2345824298,Carrera de mañana,2019-05-04T08:12:34Z,Run,7845.0,2383,2446,44.0,"[52.231602, 5.191295]",file.fit
301,2345824391,Ciclismo por la mañana,2019-05-02T07:18:29Z,Ride,29392.5,3458,3479,69.0,"[52.212942, 5.189457]",file.fit
302,2345824455,Ciclismo al anochecer,2019-05-01T18:59:57Z,Ride,28787.0,4153,4270,59.6,"[52.371811, 4.937956]",file.fit
303,2345824522,Ciclismo por la tarde,2019-04-28T17:59:14Z,Ride,50407.0,5655,5711,109.0,"[52.232369, 5.190731]",file.fit
304,2345825702,Ciclismo por la mañana,2019-04-21T09:34:13Z,Ride,117993.0,19535,30310,473.0,"[50.58068, 5.636015]",file.fit
305,2345825936,Ciclismo por la mañana,2019-04-20T09:27:13Z,Ride,110858.0,17518,28644,222.0,"[51.373426, 5.57058]",file.fit
306,2345826055,Ciclismo por la tarde,2019-04-19T14:47:12Z,Ride,75783.0,10629,11906,112.0,"[52.001441, 4.752483]",file.fit
307,2299287188,Carrera a la hora del almuerzo,2019-04-18T12:17:29Z,Run,10000.0,2258,2265,79.0,"[52.216261, 5.18779]",file.fit
308,2299287470,Ciclismo por la mañana,2019-04-17T07:59:28Z,Ride,28835.0,3583,3708,71.0,"[52.213076, 5.189518]",file.fit
309,2299289251,Ciclismo al anochecer,2019-04-16T18:39:52Z,Ride,28606.5,3365,3365,62.0,"[52.371764, 4.937251]",file.fit
310,2299289430,Carrera de noche,2019-04-15T18:41:01Z,Run,10013.0,2528,2531,71.0,"[52.213741, 5.188709]",file.fit
311,2299290376,Ciclismo por la mañana,2019-04-13T09:16:40Z,Ride,105488.0,13402,16218,10.0,"[52.232237, 5.191143]",file.fit
312,2299290122,Carrera a la hora del almuerzo,2019-04-11T12:21:31Z,Run,10029.0,2336,2350,105.0,"[52.215219, 5.18925]",file.fit
313,2299290136,Carrera de tarde,2019-04-10T17:06:57Z,Run,3074.5,810,1008,48.0,"[52.2137, 5.189643]",file.fit
314,2299290170,Carrera de tarde,2019-04-10T16:31:09Z,Run,5151.0,1519,1689,32.0,"[52.21337, 5.189723]",file.fit
315,2299290221,Carrera de tarde,2019-04-08T17:49:12Z,Run,10035.0,2355,2355,75.0,"[52.214459, 5.187512]",file.fit
